version,case,oracle,W,K,P_uniform,mixer_method,theta_default_over_pi,beta_default_over_pi,theta_opt,beta_opt,theta_over_pi,beta_over_pi,r_opt,r_star,P_valid,P_max_reduced_search,hardware_score,improvement_over_uniform,relative_improvement_over_uniform,P_valid_per_repetition,optimizer_seconds,signal_min,signal_max,signal_nonzero_count,N_tot,M_tot,IDX,m_registers,n_anc_bits,n_anc,estimated_total_qubits
V4,01_1d_tiny_single_gap,C(i) cost phase,5,1,0.2,local_geometric,0.5,0.0954929658551372,0.28049934407051724,0.16829960644231035,0.08928571428571429,0.05357142857142857,29,29,0.7634230555583972,0.7651670834415669,0.7054230555583971,0.5634230555583972,2.817115277791986,0.026324932950289558,0.8483080863952637,0.0,2.0,4,6,2,3,1,0,0,11
V4,02_1d_main_reference,C(i) cost phase,7,2,0.2857142857142857,local_geometric,0.3333333333333333,0.1909859317102744,0.30854927847756897,0.3646491472916724,0.09821428571428571,0.11607142857142858,32,32,0.9270110303615731,0.9315539263564689,0.863011030361573,0.6412967446472874,2.2445386062655057,0.028969094698799158,0.8768758773803711,0.0,2.0,5,8,2,3,1,0,0,13
V4,03_1d_two_free_regions,C(i) cost phase,8,3,0.375,local_geometric,0.3333333333333333,0.0954929658551372,0.08414980322115517,0.19634954084936207,0.026785714285714284,0.0625,35,35,0.9643728856112839,0.9643728856112839,0.8943728856112838,0.5893728856112839,1.571661028296757,0.027553511017465254,0.8064122200012207,0.0,3.0,5,10,3,3,1,0,0,16
V4,04_1d_clustered_medium,C(i) cost phase,14,4,0.2857142857142857,local_geometric,0.3333333333333333,0.07639437268410976,0.3365992128846207,0.3365992128846207,0.10714285714285714,0.10714285714285714,47,47,0.865485362683791,0.87295638741894,0.771485362683791,0.5797710769695053,2.0291987693932687,0.01841458218476151,0.8668186664581299,0.0,3.0,10,16,3,4,1,0,0,23
V4,05_1d_long_clustered_blocks,C(i) cost phase,29,11,0.3793103448275862,local_geometric,0.25,0.05729577951308232,0.05609986881410345,0.12622470483173276,0.017857142857142856,0.04017857142857143,23,23,0.9228915450637039,0.9267571037298143,0.8768915450637038,0.5435812002361177,1.433077709713401,0.04012571935059582,1.9624888896942139,0.0,4.0,18,32,4,5,1,0,0,41
V4,06_2d_tiny_corner_block,C(i) cost phase,4,1,0.25,local_geometric,0.5,0.0891267681314614,0.8414980322115517,0.3365992128846207,0.26785714285714285,0.10714285714285714,21,21,0.958200471643366,0.9631272825654185,0.9162004716433659,0.708200471643366,2.832801886573464,0.04562859388777933,0.8170270919799805,0.0,1.0,3,9,4,2,1,0,0,15
V4,07_2d_small_diagonal_block,C(i) cost phase,9,1,0.1111111111111111,local_geometric,0.5,0.07639437268410976,0.39269908169872414,0.16829960644231035,0.125,0.05357142857142857,48,48,0.7915126357485505,0.7937984294403061,0.6955126357485505,0.6804015246374393,6.123613721736954,0.0164898465780948,0.9340362548828125,0.0,2.0,8,16,4,4,1,0,0,24
V4,08_2d_medium_clustered_obstacles,C(i) cost phase,16,9,0.5625,local_geometric,0.3333333333333333,0.07002817496043395,0.5890486225480862,0.40672404890225,0.1875,0.12946428571428573,22,22,0.9831014871305613,0.9854440842045104,0.9391014871305613,0.42060148713056134,0.7477359771209979,0.044686431233207334,1.283174991607666,0.0,3.0,7,25,4,4,1,0,0,33
V4,09_2d_rectangular_window,C(i) cost phase,20,8,0.4,local_geometric,0.3333333333333333,0.05729577951308232,0.8695479666186035,0.7853981633974483,0.2767857142857143,0.25,42,42,0.933228597037052,0.933228597037052,0.849228597037052,0.5332285970370519,1.3330714925926297,0.02221972850088219,1.3807778358459473,0.0,3.0,12,36,6,5,1,0,0,47
V4,10_3d_small_clustered_obstacles,C(i) cost phase,18,12,0.6666666666666666,local_geometric,0.25,0.050929581789406514,0.14024967203525862,0.08414980322115517,0.044642857142857144,0.026785714285714284,7,7,0.9711268821608928,0.9791211768447173,0.9571268821608928,0.3044602154942262,0.4566903232413393,0.1387324117372704,1.2540369033813477,0.0,3.0,6,48,8,5,1,0,0,61
